project_name,description,compliance_framework,scan_type,file_count,lines_of_code,issues_found,critical,high,medium,score
Project_1758,Web application security audit,GDPR,standard,94,481267,23,5,11,7,40
Project_1759,Web application security audit,OWASP,standard,451,101784,12,2,8,2,46
Project_1760,Web application security audit,GDPR,deep,114,74111,37,3,1,33,40
Project_1761,Web application security audit,GDPR,standard,96,436027,9,4,4,1,43
Project_1762,Web application security audit,OWASP,standard,246,133040,39,1,23,15,40
Project_1763,Web application security audit,OWASP,standard,120,244705,23,1,22,0,40
Project_1764,Web application security audit,PCI-DSS,standard,258,64332,34,3,7,24,40
Project_1765,Web application security audit,OWASP,standard,219,499360,31,5,14,12,40
Project_1766,Web application security audit,ISO 27001,standard,498,306158,35,3,18,14,40
Project_1767,Web application security audit,OWASP,standard,78,175420,10,3,3,4,54
Project_1768,Web application security audit,PCI-DSS,deep,116,162246,3,0,2,1,91
Project_1769,Web application security audit,GDPR,deep,181,231606,29,3,0,26,44
Project_1770,Web application security audit,PCI-DSS,deep,92,111175,33,5,21,7,40
Project_1771,Web application security audit,PCI-DSS,standard,190,269532,30,2,20,8,40
Project_1772,Web application security audit,ISO 27001,deep,359,403191,16,3,8,5,40
Project_1773,Web application security audit,OWASP,deep,67,252514,11,3,8,0,40
Project_1774,Web application security audit,OWASP,standard,464,373989,26,4,0,22,40
Project_1775,Web application security audit,GDPR,deep,85,51989,2,1,1,0,86
Project_1776,Web application security audit,PCI-DSS,standard,173,40669,8,4,1,3,53
Project_1777,Web application security audit,PCI-DSS,deep,389,68758,4,2,0,2,78
Project_1778,Web application security audit,ISO 27001,standard,254,41886,12,1,1,10,76
Project_1779,Web application security audit,ISO 27001,deep,75,270130,16,4,4,8,40
Project_1780,Web application security audit,GDPR,deep,352,445990,9,0,0,9,91
Project_1781,Web application security audit,OWASP,standard,140,399255,34,3,20,11,40
Project_1782,Web application security audit,PCI-DSS,standard,208,230733,32,5,13,14,40
Project_1783,Web application security audit,OWASP,deep,308,291946,12,0,10,2,58
Project_1784,Web application security audit,OWASP,standard,164,25034,19,3,16,0,40
Project_1785,Web application security audit,OWASP,standard,488,270203,7,1,6,0,66
Project_1786,Web application security audit,ISO 27001,standard,76,329153,36,0,8,28,40
Project_1787,Web application security audit,GDPR,standard,124,18934,25,4,12,9,40
Project_1788,Web application security audit,GDPR,deep,249,304358,21,0,4,17,67
Project_1789,Web application security audit,PCI-DSS,standard,278,21282,21,0,7,14,58
Project_1790,Web application security audit,GDPR,standard,185,166906,9,4,5,0,40
Project_1791,Web application security audit,OWASP,deep,270,241655,12,0,8,4,64
Project_1792,Web application security audit,GDPR,standard,226,220904,26,3,13,10,40
Project_1793,Web application security audit,OWASP,deep,496,235536,18,3,9,6,40
Project_1794,Web application security audit,PCI-DSS,deep,176,61525,32,3,24,5,40
Project_1795,Web application security audit,GDPR,deep,192,453782,23,5,16,2,40
Project_1796,Web application security audit,GDPR,standard,238,363212,17,3,13,1,40
Project_1797,Web application security audit,PCI-DSS,deep,127,417690,27,2,5,20,40
Project_1798,Web application security audit,PCI-DSS,deep,146,127187,19,5,3,11,40
Project_1799,Web application security audit,PCI-DSS,deep,248,411243,14,5,6,3,40
Project_1800,Web application security audit,ISO 27001,standard,245,142392,24,4,13,7,40
Project_1801,Web application security audit,GDPR,deep,363,348439,27,3,24,0,40
Project_1802,Web application security audit,OWASP,standard,157,435676,1,0,1,0,96
Project_1803,Web application security audit,ISO 27001,deep,296,185851,31,2,2,27,45
Project_1804,Web application security audit,PCI-DSS,standard,434,130553,33,1,27,5,40
Project_1805,Web application security audit,ISO 27001,deep,450,113013,40,4,27,9,40
Project_1806,Web application security audit,OWASP,standard,189,38736,8,2,5,1,59
Project_1807,Web application security audit,ISO 27001,deep,39,257614,11,3,4,4,50
Project_1808,Web application security audit,ISO 27001,deep,277,292902,36,5,3,28,40
Project_1809,Web application security audit,ISO 27001,standard,206,403675,2,1,1,0,86
Project_1810,Web application security audit,PCI-DSS,deep,202,137684,27,4,4,19,40
Project_1811,Web application security audit,PCI-DSS,deep,85,227827,1,0,0,1,99
Project_1812,Web application security audit,OWASP,standard,343,395979,39,2,26,11,40
Project_1813,Web application security audit,PCI-DSS,deep,220,40355,20,4,0,16,44
Project_1814,Web application security audit,GDPR,deep,274,200826,29,5,21,3,40
Project_1815,Web application security audit,PCI-DSS,deep,180,193648,13,5,5,3,40
Project_1816,Web application security audit,GDPR,deep,121,213901,17,2,4,11,53
Project_1817,Web application security audit,PCI-DSS,standard,240,84200,15,0,12,3,49
Project_1818,Web application security audit,PCI-DSS,standard,61,207470,14,1,1,12,74
Project_1819,Web application security audit,OWASP,standard,357,95786,9,4,5,0,40
Project_1820,Web application security audit,OWASP,standard,355,203151,6,5,0,1,49
Project_1821,Web application security audit,ISO 27001,standard,450,424161,6,3,3,0,58
Project_1822,Web application security audit,ISO 27001,standard,338,342686,7,5,2,0,42
Project_1823,Web application security audit,GDPR,standard,271,320047,9,1,5,3,67
Project_1824,Web application security audit,GDPR,deep,314,258487,40,4,6,30,40
Project_1825,Web application security audit,ISO 27001,standard,126,496398,6,2,4,0,64
Project_1826,Web application security audit,PCI-DSS,standard,249,410013,40,4,2,34,40
Project_1827,Web application security audit,OWASP,deep,178,411217,2,2,0,0,80
Project_1828,Web application security audit,PCI-DSS,standard,132,36796,30,4,26,0,40
Project_1829,Web application security audit,OWASP,deep,26,27726,28,1,25,2,40
Project_1830,Web application security audit,GDPR,standard,241,72912,32,3,8,21,40
Project_1831,Web application security audit,ISO 27001,deep,215,258445,5,5,0,0,50
Project_1832,Web application security audit,GDPR,deep,36,140123,28,0,7,21,51
Project_1833,Web application security audit,GDPR,deep,443,283279,22,1,14,7,40
Project_1834,Web application security audit,ISO 27001,standard,74,369037,40,2,5,33,40
Project_1835,Web application security audit,ISO 27001,deep,435,174560,29,0,23,6,40
Project_1836,Web application security audit,OWASP,standard,128,9385,32,1,23,8,40
Project_1837,Web application security audit,ISO 27001,deep,324,389020,14,5,7,2,40
Project_1838,Web application security audit,OWASP,standard,252,251205,29,5,21,3,40
Project_1839,Web application security audit,GDPR,deep,204,364360,3,1,2,0,82
Project_1840,Web application security audit,OWASP,standard,128,105185,9,3,2,4,58
Project_1841,Web application security audit,ISO 27001,deep,470,350371,40,3,24,13,40
Project_1842,Web application security audit,OWASP,deep,158,450896,7,0,5,2,78
Project_1843,Web application security audit,GDPR,deep,196,130109,6,5,1,0,46
Project_1844,Web application security audit,GDPR,deep,318,112365,29,5,24,0,40
Project_1845,Web application security audit,PCI-DSS,standard,156,389856,27,4,0,23,40
Project_1846,Web application security audit,GDPR,standard,324,98058,7,2,3,2,66
Project_1847,Web application security audit,GDPR,deep,355,178744,22,0,22,0,40
Project_1848,Web application security audit,GDPR,deep,151,286702,17,0,13,4,44
Project_1849,Web application security audit,GDPR,deep,403,462314,0,0,0,0,100
Project_1850,Web application security audit,GDPR,deep,337,146765,31,4,17,10,40
Project_1851,Web application security audit,OWASP,deep,182,72420,8,3,5,0,50
Project_1852,Web application security audit,OWASP,deep,133,482492,7,4,2,1,51
Project_1853,Web application security audit,ISO 27001,standard,440,499387,13,0,9,4,60
Project_1854,Web application security audit,PCI-DSS,deep,293,336553,25,2,8,15,40
Project_1855,Web application security audit,ISO 27001,deep,375,284587,7,4,2,1,51
Project_1856,Web application security audit,OWASP,standard,219,127173,30,4,23,3,40
Project_1857,Web application security audit,GDPR,standard,192,235696,32,5,2,25,40
Project_1858,Web application security audit,PCI-DSS,deep,54,361244,26,2,21,3,40
Project_1859,Web application security audit,ISO 27001,standard,223,347552,20,5,2,13,40
Project_1860,Web application security audit,GDPR,standard,5,398989,14,5,3,6,40
Project_1861,Web application security audit,GDPR,standard,422,112183,10,3,1,6,60
Project_1862,Web application security audit,PCI-DSS,deep,395,170568,14,0,10,4,56
Project_1863,Web application security audit,GDPR,standard,376,168720,36,0,17,19,40
Project_1864,Web application security audit,GDPR,standard,212,372421,35,2,29,4,40
Project_1865,Web application security audit,PCI-DSS,deep,423,2435,13,0,3,10,78
Project_1866,Web application security audit,PCI-DSS,deep,436,151721,31,0,20,11,40
Project_1867,Web application security audit,OWASP,deep,333,286357,9,0,4,5,79
Project_1868,Web application security audit,PCI-DSS,standard,223,279621,14,5,5,4,40
Project_1869,Web application security audit,ISO 27001,standard,200,288091,5,4,0,1,59
Project_1870,Web application security audit,GDPR,standard,239,96619,6,4,1,1,55
Project_1871,Web application security audit,ISO 27001,deep,263,455833,31,4,27,0,40
Project_1872,Web application security audit,PCI-DSS,standard,103,427664,17,5,7,5,40
Project_1873,Web application security audit,GDPR,standard,401,425782,17,4,0,13,47
Project_1874,Web application security audit,PCI-DSS,standard,305,467831,28,4,4,20,40
Project_1875,Web application security audit,ISO 27001,standard,303,51159,13,3,0,10,60
Project_1876,Web application security audit,ISO 27001,deep,383,479830,9,0,4,5,79
Project_1877,Web application security audit,GDPR,deep,253,38418,22,4,18,0,40
Project_1878,Web application security audit,GDPR,deep,80,394594,35,2,6,27,40
Project_1879,Web application security audit,PCI-DSS,deep,315,242725,31,5,6,20,40
Project_1880,Web application security audit,GDPR,standard,158,435981,19,0,6,13,63
Project_1881,Web application security audit,PCI-DSS,standard,198,489392,25,1,11,13,40
Project_1882,Web application security audit,GDPR,standard,498,7268,1,0,1,0,96
Project_1883,Web application security audit,OWASP,standard,450,124129,17,5,6,6,40
Project_1884,Web application security audit,ISO 27001,standard,267,194893,4,0,2,2,90
Project_1885,Web application security audit,PCI-DSS,standard,78,37866,11,3,4,4,50
Project_1886,Web application security audit,GDPR,deep,47,45353,27,4,10,13,40
Project_1887,Web application security audit,ISO 27001,deep,5,325167,23,1,2,20,62
Project_1888,Web application security audit,ISO 27001,standard,268,120921,7,0,0,7,93
Project_1889,Web application security audit,GDPR,standard,94,164004,32,4,6,22,40
Project_1890,Web application security audit,PCI-DSS,standard,123,319285,9,3,6,0,46
Project_1891,Web application security audit,OWASP,standard,91,438032,12,3,5,4,46
Project_1892,Web application security audit,PCI-DSS,standard,101,385651,27,3,13,11,40
Project_1893,Web application security audit,OWASP,standard,309,375298,15,2,12,1,40
Project_1894,Web application security audit,OWASP,deep,101,339497,7,3,3,1,57
Project_1895,Web application security audit,OWASP,deep,404,148860,1,1,0,0,90
Project_1896,Web application security audit,GDPR,deep,108,127021,10,1,6,3,63
Project_1897,Web application security audit,ISO 27001,standard,138,490670,34,0,24,10,40
Project_1898,Web application security audit,OWASP,standard,494,246120,15,4,2,9,43
Project_1899,Web application security audit,OWASP,standard,215,229526,28,0,2,26,66
Project_1900,Web application security audit,OWASP,standard,500,139794,30,1,20,9,40
Project_1901,Web application security audit,OWASP,standard,73,204095,8,1,1,6,80
Project_1902,Web application security audit,PCI-DSS,deep,70,60247,30,4,3,23,40
Project_1903,Web application security audit,ISO 27001,standard,217,494728,26,0,7,19,53
Project_1904,Web application security audit,PCI-DSS,standard,64,118707,4,2,1,1,75
Project_1905,Web application security audit,OWASP,deep,399,470276,9,2,1,6,70
Project_1906,Web application security audit,ISO 27001,deep,423,441783,2,0,1,1,95
Project_1907,Web application security audit,GDPR,standard,47,308437,12,5,2,5,40
Project_1908,Web application security audit,OWASP,standard,194,123854,35,4,26,5,40
Project_1909,Web application security audit,GDPR,deep,32,303292,10,4,0,6,54
Project_1910,Web application security audit,OWASP,standard,439,425869,19,1,0,18,72
Project_1911,Web application security audit,OWASP,standard,410,79877,14,3,9,2,40
Project_1912,Web application security audit,ISO 27001,deep,50,379177,4,3,0,1,69
Project_1913,Web application security audit,GDPR,standard,474,298892,3,0,1,2,94
Project_1914,Web application security audit,OWASP,standard,188,337197,31,5,14,12,40
Project_1915,Web application security audit,GDPR,standard,142,157142,7,2,3,2,66
Project_1916,Web application security audit,PCI-DSS,standard,268,310396,24,2,6,16,40
Project_1917,Web application security audit,ISO 27001,deep,438,140958,21,5,15,1,40
Project_1918,Web application security audit,OWASP,deep,463,196382,27,5,13,9,40
Project_1919,Web application security audit,GDPR,standard,427,208698,40,3,23,14,40
Project_1920,Web application security audit,GDPR,standard,365,485133,7,1,6,0,66
Project_1921,Web application security audit,PCI-DSS,standard,75,252666,2,0,2,0,92
Project_1922,Web application security audit,OWASP,standard,470,158381,22,4,9,9,40
Project_1923,Web application security audit,OWASP,deep,294,6063,7,5,1,1,45
Project_1924,Web application security audit,PCI-DSS,deep,360,135017,7,1,6,0,66
Project_1925,Web application security audit,PCI-DSS,deep,257,401376,17,5,0,12,40
Project_1926,Web application security audit,PCI-DSS,standard,352,155711,27,5,13,9,40
Project_1927,Web application security audit,OWASP,deep,379,431086,16,5,3,8,40
Project_1928,Web application security audit,GDPR,standard,289,69687,19,0,13,6,42
Project_1929,Web application security audit,ISO 27001,deep,446,89659,16,3,7,6,40
Project_1930,Web application security audit,GDPR,deep,278,405522,39,5,2,32,40
Project_1931,Web application security audit,PCI-DSS,standard,221,263324,2,1,1,0,86
Project_1932,Web application security audit,ISO 27001,standard,105,308005,15,1,2,12,70
Project_1933,Web application security audit,PCI-DSS,standard,394,50380,19,1,18,0,40
Project_1934,Web application security audit,PCI-DSS,deep,234,205008,36,4,19,13,40
Project_1935,Web application security audit,OWASP,deep,201,112216,40,4,17,19,40
Project_1936,Web application security audit,GDPR,deep,268,83648,18,5,12,1,40
Project_1937,Web application security audit,OWASP,deep,168,232787,36,4,21,11,40
Project_1938,Web application security audit,PCI-DSS,standard,338,63330,33,5,24,4,40
Project_1939,Web application security audit,OWASP,deep,258,251139,31,3,13,15,40
Project_1940,Web application security audit,OWASP,deep,175,152913,19,1,5,13,57
Project_1941,Web application security audit,ISO 27001,deep,173,366157,6,4,0,2,58
Project_1942,Web application security audit,OWASP,standard,401,440745,18,2,11,5,40
Project_1943,Web application security audit,PCI-DSS,standard,45,72634,12,1,5,6,64
Project_1944,Web application security audit,PCI-DSS,deep,78,460995,21,5,16,0,40
Project_1945,Web application security audit,ISO 27001,standard,37,300650,23,2,4,17,47
Project_1946,Web application security audit,PCI-DSS,standard,129,360661,38,1,1,36,50
Project_1947,Web application security audit,ISO 27001,standard,74,353013,6,1,0,5,85
Project_1948,Web application security audit,OWASP,standard,11,47214,15,5,9,1,40
Project_1949,Web application security audit,PCI-DSS,deep,349,462524,21,0,21,0,40
Project_1950,Web application security audit,PCI-DSS,deep,498,442546,27,0,20,7,40
Project_1951,Web application security audit,PCI-DSS,standard,109,421344,4,2,2,0,72
Project_1952,Web application security audit,OWASP,deep,152,46746,31,5,15,11,40
Project_1953,Web application security audit,ISO 27001,deep,230,331575,27,2,10,15,40
Project_1954,Web application security audit,PCI-DSS,standard,401,402263,22,4,14,4,40
Project_1955,Web application security audit,GDPR,deep,256,7281,25,4,20,1,40
Project_1956,Web application security audit,PCI-DSS,standard,456,440435,20,5,15,0,40
Project_1957,Web application security audit,OWASP,deep,28,275579,36,3,17,16,40
Project_1958,Web application security audit,OWASP,standard,248,184821,24,4,15,5,40
Project_1959,Web application security audit,PCI-DSS,standard,225,303915,2,2,0,0,80
Project_1960,Web application security audit,PCI-DSS,deep,303,369241,21,4,14,3,40
Project_1961,Web application security audit,ISO 27001,standard,162,432707,35,5,9,21,40
Project_1962,Web application security audit,OWASP,standard,336,423877,35,5,11,19,40
Project_1963,Web application security audit,ISO 27001,standard,27,395419,15,0,13,2,46
Project_1964,Web application security audit,ISO 27001,standard,171,136383,10,3,0,7,63
Project_1965,Web application security audit,ISO 27001,standard,341,405810,36,4,13,19,40
Project_1966,Web application security audit,OWASP,standard,243,166355,33,1,16,16,40
Project_1967,Web application security audit,ISO 27001,deep,280,478556,1,1,0,0,90
Project_1968,Web application security audit,GDPR,standard,105,467945,13,0,7,6,66
Project_1969,Web application security audit,OWASP,deep,257,385160,10,1,8,1,57
Project_1970,Web application security audit,ISO 27001,deep,171,349018,2,0,0,2,98
Project_1971,Web application security audit,PCI-DSS,deep,42,136946,23,1,2,20,62
Project_1972,Web application security audit,GDPR,standard,435,122310,16,3,1,12,54
Project_1973,Web application security audit,OWASP,deep,455,379685,20,0,1,19,77
Project_1974,Web application security audit,PCI-DSS,deep,484,134138,35,3,4,28,40
Project_1975,Web application security audit,PCI-DSS,standard,346,65471,18,2,16,0,40
Project_1976,Web application security audit,OWASP,deep,21,366540,20,1,19,0,40
Project_1977,Web application security audit,GDPR,standard,383,253915,15,1,14,0,40
Project_1978,Web application security audit,PCI-DSS,standard,126,252796,31,5,6,20,40
Project_1979,Web application security audit,PCI-DSS,deep,419,412081,25,3,12,10,40
Project_1980,Web application security audit,GDPR,deep,276,213590,1,1,0,0,90
Project_1981,Web application security audit,OWASP,deep,488,102546,4,0,3,1,87
Project_1982,Web application security audit,PCI-DSS,deep,208,433635,2,2,0,0,80
Project_1983,Web application security audit,GDPR,deep,356,333911,20,2,9,9,40
Project_1984,Web application security audit,GDPR,standard,314,488839,22,4,8,10,40
Project_1985,Web application security audit,GDPR,deep,433,418089,3,3,0,0,70
Project_1986,Web application security audit,PCI-DSS,deep,364,122801,15,0,0,15,85
Project_1987,Web application security audit,ISO 27001,standard,130,145072,36,4,16,16,40
Project_1988,Web application security audit,GDPR,deep,352,451404,17,3,12,2,40
Project_1989,Web application security audit,GDPR,deep,109,241782,4,3,0,1,69
Project_1990,Web application security audit,ISO 27001,deep,167,48272,8,1,2,5,77
Project_1991,Web application security audit,OWASP,standard,11,445807,38,4,20,14,40
Project_1992,Web application security audit,OWASP,standard,308,477105,5,1,3,1,77
Project_1993,Web application security audit,OWASP,deep,326,489263,18,3,2,13,49
Project_1994,Web application security audit,OWASP,standard,433,300808,22,1,2,19,63
Project_1995,Web application security audit,ISO 27001,deep,54,317177,24,0,10,14,46
Project_1996,Web application security audit,ISO 27001,deep,359,352089,1,1,0,0,90
Project_1997,Web application security audit,ISO 27001,standard,434,211278,37,5,7,25,40
Project_1998,Web application security audit,ISO 27001,standard,157,32450,5,3,2,0,62
Project_1999,Web application security audit,GDPR,standard,159,1436,29,3,16,10,40
Project_2000,Web application security audit,PCI-DSS,deep,88,219767,3,3,0,0,70
Project_2001,Web application security audit,ISO 27001,deep,250,149250,32,1,27,4,40
Project_2002,Web application security audit,ISO 27001,standard,266,444235,14,1,12,1,41
Project_2003,Web application security audit,PCI-DSS,deep,197,38778,5,2,0,3,77
Project_2004,Web application security audit,OWASP,standard,132,119749,34,0,16,18,40
Project_2005,Web application security audit,PCI-DSS,deep,308,381401,11,2,6,3,53
Project_2006,Web application security audit,GDPR,standard,106,378401,38,2,33,3,40
Project_2007,Web application security audit,GDPR,standard,369,185454,25,3,12,10,40
Project_2008,Web application security audit,GDPR,standard,196,273124,5,2,0,3,77
Project_2009,Web application security audit,ISO 27001,deep,335,126864,0,0,0,0,100
Project_2010,Web application security audit,ISO 27001,deep,382,431671,36,3,24,9,40
Project_2011,Web application security audit,GDPR,deep,66,461308,37,2,2,33,40
Project_2012,Web application security audit,PCI-DSS,standard,375,203968,27,3,22,2,40
Project_2013,Web application security audit,GDPR,standard,315,463114,18,3,14,1,40
Project_2014,Web application security audit,PCI-DSS,deep,246,428952,7,5,1,1,45
Project_2015,Web application security audit,ISO 27001,standard,7,270307,11,4,7,0,40
Project_2016,Web application security audit,OWASP,deep,15,342012,25,3,10,12,40
Project_2017,Web application security audit,PCI-DSS,standard,416,68055,39,5,30,4,40
Project_2018,Web application security audit,OWASP,deep,393,47341,28,4,0,24,40
Project_2019,Web application security audit,OWASP,deep,422,348599,10,3,0,7,63
Project_2020,Web application security audit,PCI-DSS,deep,119,136254,38,0,15,23,40
Project_2021,Web application security audit,OWASP,standard,256,296520,6,4,1,1,55
Project_2022,Web application security audit,GDPR,standard,235,110228,24,3,6,15,40
Project_2023,Web application security audit,ISO 27001,deep,482,121654,29,4,23,2,40
Project_2024,Web application security audit,GDPR,standard,466,114150,38,1,17,20,40
Project_2025,Web application security audit,PCI-DSS,standard,304,414832,32,5,24,3,40
Project_2026,Web application security audit,OWASP,deep,179,290915,29,2,14,13,40
Project_2027,Web application security audit,ISO 27001,deep,195,306687,8,0,3,5,83
Project_2028,Web application security audit,GDPR,standard,117,460263,14,4,10,0,40
Project_2029,Web application security audit,GDPR,standard,440,156105,10,0,5,5,75
Project_2030,Web application security audit,PCI-DSS,standard,73,195735,38,0,11,27,40
Project_2031,Web application security audit,OWASP,standard,477,92651,31,2,29,0,40
Project_2032,Web application security audit,OWASP,deep,348,280745,10,2,1,7,69
Project_2033,Web application security audit,ISO 27001,standard,333,497344,26,2,2,22,50
Project_2034,Web application security audit,PCI-DSS,standard,468,337618,13,2,11,0,40
Project_2035,Web application security audit,OWASP,standard,360,9035,31,3,1,27,40
Project_2036,Web application security audit,ISO 27001,deep,388,202803,0,0,0,0,100
Project_2037,Web application security audit,OWASP,standard,451,317741,17,4,12,1,40
Project_2038,Web application security audit,PCI-DSS,deep,396,488893,9,5,2,2,40
Project_2039,Web application security audit,GDPR,deep,136,124117,20,4,16,0,40
Project_2040,Web application security audit,PCI-DSS,deep,432,381618,39,2,16,21,40
Project_2041,Web application security audit,OWASP,deep,444,386963,21,5,11,5,40
Project_2042,Web application security audit,PCI-DSS,standard,429,164676,17,3,14,0,40
Project_2043,Web application security audit,ISO 27001,standard,446,197921,39,4,0,35,40
Project_2044,Web application security audit,PCI-DSS,deep,257,399593,23,0,17,6,40
Project_2045,Web application security audit,PCI-DSS,deep,465,95050,3,0,1,2,94
Project_2046,Web application security audit,ISO 27001,standard,463,329224,1,0,0,1,99
Project_2047,Web application security audit,ISO 27001,standard,296,498765,5,2,3,0,68
Project_2048,Web application security audit,GDPR,standard,322,180658,2,2,0,0,80
Project_2049,Web application security audit,OWASP,standard,323,487522,8,3,0,5,65
Project_2050,Web application security audit,ISO 27001,standard,241,282782,8,2,6,0,56
Project_2051,Web application security audit,ISO 27001,standard,323,421198,12,0,7,5,67
Project_2052,Web application security audit,PCI-DSS,standard,82,28455,7,2,3,2,66
Project_2053,Web application security audit,PCI-DSS,deep,75,492410,23,2,4,17,47
Project_2054,Web application security audit,PCI-DSS,deep,276,90929,8,5,3,0,40
Project_2055,Web application security audit,GDPR,standard,73,103273,26,5,14,7,40
Project_2056,Web application security audit,GDPR,standard,363,320520,32,3,12,17,40
Project_2057,Web application security audit,GDPR,standard,297,332485,40,4,1,35,40
Project_2058,Web application security audit,ISO 27001,standard,45,481603,11,1,7,3,59
Project_2059,Web application security audit,ISO 27001,deep,109,85538,32,4,3,25,40
Project_2060,Web application security audit,GDPR,deep,106,420777,7,3,0,4,66
Project_2061,Web application security audit,GDPR,standard,28,217906,16,4,0,12,48
Project_2062,Web application security audit,GDPR,deep,317,25202,20,0,16,4,40
Project_2063,Web application security audit,PCI-DSS,standard,486,173700,20,5,14,1,40
Project_2064,Web application security audit,ISO 27001,standard,302,41603,6,3,3,0,58
Project_2065,Web application security audit,GDPR,standard,121,190108,15,1,5,9,61
Project_2066,Web application security audit,PCI-DSS,standard,73,269327,23,4,1,18,40
Project_2067,Web application security audit,GDPR,standard,423,371346,11,5,0,6,44
Project_2068,Web application security audit,GDPR,deep,79,99516,12,3,5,4,46
Project_2069,Web application security audit,ISO 27001,deep,490,171139,37,0,28,9,40
Project_2070,Web application security audit,ISO 27001,deep,47,157666,17,0,3,14,74
Project_2071,Web application security audit,OWASP,standard,26,344970,1,1,0,0,90
Project_2072,Web application security audit,GDPR,standard,94,300019,36,3,25,8,40
Project_2073,Web application security audit,OWASP,standard,401,245717,21,2,5,14,46
Project_2074,Web application security audit,OWASP,deep,115,396440,15,2,1,12,64
Project_2075,Web application security audit,OWASP,deep,37,422727,11,4,5,2,40
Project_2076,Web application security audit,GDPR,standard,406,209816,19,5,8,6,40
Project_2077,Web application security audit,ISO 27001,standard,253,411991,24,1,2,21,61
Project_2078,Web application security audit,OWASP,deep,337,343923,38,1,14,23,40
Project_2079,Web application security audit,ISO 27001,deep,282,261101,11,0,4,7,77
Project_2080,Web application security audit,OWASP,deep,130,128599,27,1,12,14,40
Project_2081,Web application security audit,PCI-DSS,standard,278,459716,1,1,0,0,90
Project_2082,Web application security audit,GDPR,standard,342,283010,18,3,12,3,40
Project_2083,Web application security audit,PCI-DSS,deep,185,488637,11,2,1,8,68
Project_2084,Web application security audit,ISO 27001,standard,281,173965,8,0,0,8,92
Project_2085,Web application security audit,OWASP,standard,117,434323,37,0,3,34,54
Project_2086,Web application security audit,GDPR,standard,46,477947,13,2,4,7,57
Project_2087,Web application security audit,ISO 27001,deep,115,204022,11,5,1,5,41
Project_2088,Web application security audit,GDPR,deep,471,402705,30,5,0,25,40
Project_2089,Web application security audit,PCI-DSS,standard,277,445737,15,2,0,13,67
Project_2090,Web application security audit,PCI-DSS,standard,379,307036,25,4,7,14,40
Project_2091,Web application security audit,OWASP,standard,54,353545,31,2,18,11,40
Project_2092,Web application security audit,ISO 27001,standard,429,310520,39,2,7,30,40
Project_2093,Web application security audit,ISO 27001,deep,399,280797,27,5,15,7,40
Project_2094,Web application security audit,GDPR,standard,29,51194,22,1,21,0,40
Project_2095,Web application security audit,PCI-DSS,standard,303,73792,8,5,0,3,47
Project_2096,Web application security audit,PCI-DSS,deep,415,133898,40,1,35,4,40
Project_2097,Web application security audit,OWASP,deep,66,349965,21,1,2,18,64
Project_2098,Web application security audit,OWASP,standard,209,87509,23,4,13,6,40
Project_2099,Web application security audit,GDPR,deep,450,409624,21,1,7,13,49
Project_2100,Web application security audit,OWASP,standard,277,39765,24,1,16,7,40
Project_2101,Web application security audit,OWASP,standard,111,114313,25,0,21,4,40
Project_2102,Web application security audit,GDPR,deep,317,488673,35,0,18,17,40
Project_2103,Web application security audit,PCI-DSS,deep,265,231762,23,5,14,4,40
Project_2104,Web application security audit,ISO 27001,deep,393,315266,27,3,9,15,40
Project_2105,Web application security audit,GDPR,standard,422,420091,29,4,21,4,40
Project_2106,Web application security audit,OWASP,standard,266,40805,4,2,2,0,72
Project_2107,Web application security audit,PCI-DSS,deep,375,257759,10,2,4,4,60
Project_2108,Web application security audit,GDPR,deep,90,241047,29,1,23,5,40
Project_2109,Web application security audit,OWASP,deep,470,109625,8,5,1,2,44
Project_2110,Web application security audit,OWASP,deep,191,208778,27,1,3,23,55
Project_2111,Web application security audit,ISO 27001,deep,421,91598,24,2,18,4,40
Project_2112,Web application security audit,ISO 27001,standard,377,494631,7,4,1,2,54
Project_2113,Web application security audit,PCI-DSS,standard,291,22590,20,3,4,13,41
Project_2114,Web application security audit,ISO 27001,standard,59,483030,3,2,0,1,79
Project_2115,Web application security audit,ISO 27001,deep,12,352677,18,1,4,13,61
Project_2116,Web application security audit,PCI-DSS,deep,35,384027,40,1,20,19,40
Project_2117,Web application security audit,GDPR,standard,377,367907,20,0,5,15,65
Project_2118,Web application security audit,OWASP,deep,14,385889,12,1,7,4,58
Project_2119,Web application security audit,GDPR,deep,277,315748,9,5,0,4,46
Project_2120,Web application security audit,OWASP,standard,7,75492,35,3,7,25,40
Project_2121,Web application security audit,GDPR,standard,470,409901,31,1,18,12,40
Project_2122,Web application security audit,OWASP,deep,327,26623,31,5,4,22,40
Project_2123,Web application security audit,GDPR,deep,50,68372,19,0,18,1,40
Project_2124,Web application security audit,PCI-DSS,standard,437,226645,27,3,20,4,40
Project_2125,Web application security audit,ISO 27001,deep,148,2172,4,4,0,0,60
Project_2126,Web application security audit,ISO 27001,standard,395,198862,30,4,18,8,40
Project_2127,Web application security audit,PCI-DSS,standard,197,67069,25,5,6,14,40
Project_2128,Web application security audit,PCI-DSS,deep,344,192885,27,1,19,7,40
Project_2129,Web application security audit,ISO 27001,deep,159,452779,5,1,3,1,77
Project_2130,Web application security audit,GDPR,standard,306,87853,28,0,6,22,54
Project_2131,Web application security audit,PCI-DSS,standard,77,272943,16,1,7,8,54
